ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
ORIC,ORIC Pharmaceuticals,14.676433941229858,10.26,-0.49,20.51,60,4.46,22.14,51.55,-18.18,small,7843821.47,RS_trend_protect;breakout_protect,below_cutoff
SAXPY,Sampo,14.65418986007675,22.95,4.17,13.01,50,1.15,8.1,-25.36,-1.38,small,750235.52,pullback_protect;setup_protect,below_cutoff
CRC,California Resources,14.639280326975046,49.86,4.93,7.94,71,2.37,10.03,-11.06,-13.53,small,41770963.41,breakout_protect,below_cutoff
BABA,Alibaba,14.6315655602845,122.23,4.42,10.84,52,2.1,8.11,24.27,-15.77,large,1352482932.09,pullback_protect;setup_protect,below_cutoff
PFSI,PennyMac Financial Services,14.619500872187794,108.51,8.23,8.26,70,2.39,14.2,-31.13,-5.81,small,41863158.82,pullback_protect;stall_risk,below_cutoff
CION,CION Investment,14.612754125198554,10.77,7.57,6.13,65,2.01,18.09,42.88,-7.8,small,2853780.87,pullback_protect,below_cutoff
PSX,Phillips 66,14.576816528905294,132.62,7.3,12.2,89,2.07,15.49,-3.62,-1.9,large,279567591.41,,below_cutoff
TRMB,Trimble,14.576288702391635,82.18,2.14,13.2,49,2.06,14.58,-33.07,-3.59,small,152872469.27,pullback_protect;setup_protect,below_cutoff
BDI.TO,Black Diamond Group,14.570535688094045,11.35,2.7,20.81,35,2.52,20.54,-39.21,-7.72,small,821456.28,RS_trend_protect,below_cutoff
RCMT,RCM Technologies,14.56003559696492,26.12,6.29,23.18,82,5.35,15.63,-40.55,-3.26,small,1550875.05,,below_cutoff
BMO.TO,Bank of Montreal,14.545823233543933,164.22,7.18,16.99,77,1.0,12.18,20.21,-0.57,large,441858546.28,,below_cutoff
HUHU,Huhutech International Group,14.50720010960167,6.28,-1.1,26.1,50,6.02,34.48,-32.93,-17.37,small,786538.63,RS_trend_protect;setup_protect,below_cutoff
STAG,STAG Industrial,14.503582380040982,36.97,3.82,6.95,65,1.71,3.33,64.74,-5.35,small,49739994.19,breakout_protect,below_cutoff
HVT,Haverty Furniture Companies,14.477916724139924,22.89,7.7,10.73,68,3.01,17.45,-25.57,-12.04,small,2321961.54,pullback_protect;stall_risk,below_cutoff
EVRG,Evergy,14.477638527849255,72.06,3.53,10.45,49,1.1,10.18,-26.62,-0.74,small,171962536.97,pullback_protect;setup_protect,below_cutoff
AMZN,Amazon,14.457396245012385,229.12,2.6,7.77,60,1.67,11.38,-53.96,-5.35,large,10563681624.48,pullback_protect;stall_risk;setup_protect,below_cutoff
ERJ,Embraer,14.43642689968047,55.85,1.73,20.8,40,2.62,21.52,-56.84,-8.47,small,109534413.26,RS_trend_protect,below_cutoff
WHR,Whirlpool,14.422775633679949,94.6,0.34,-1.43,73,3.17,16.26,-35.83,-26.17,small,119116061.08,,below_cutoff
GRBK,Green Brick Partners,14.417501504300631,69.65,6.26,12.41,65,2.89,19.04,-52.49,-16.86,small,18662717.91,pullback_protect;stall_risk,below_cutoff
TEF,Telefonica,14.392580933674068,5.39,1.34,16.89,52,1.06,5.5,-5.78,-5.6,small,3339778.67,pullback_protect;setup_protect,below_cutoff
SRBK,SR Bancorp,14.375578834919189,15.15,7.58,20.26,82,1.96,21.17,55.63,0.0,small,528583.49,RS_trend_protect;breakout_protect,below_cutoff
